,household_id,origin,destination,depart,home_zone_id,income,emp_15min
43217,1015974,2596,2553,14,2553,177951,43896.99286
43218,1015974,2553,2695,18,2553,177951,43896.99286
43219,1015974,2695,2553,18,2553,177951,43896.99286
43220,1022576,2553,2995,6,2553,3232,43896.99286
43221,1022576,2995,2553,15,2553,3232,43896.99286
43222,1028949,2495,2553,18,2553,53845,43896.99286
43223,1028949,2553,2525,15,2553,53845,43896.99286
43224,1028949,2525,2553,16,2553,53845,43896.99286
43225,1035589,2553,2705,18,2553,41325,43896.99286
43226,1035589,2705,2553,21,2553,41325,43896.99286
43227,1036301,2553,2525,8,2553,111367,43896.99286
43228,1036301,2525,2553,18,2553,111367,43896.99286
43229,1036301,2495,2553,16,2553,111367,43896.99286
43230,1036301,2553,2734,7,2553,111367,43896.99286
43231,1036301,2734,2553,16,2553,111367,43896.99286
43232,1038982,2553,2706,6,2553,66453,43896.99286
43233,1038982,2706,2553,13,2553,66453,43896.99286
43234,1038982,2553,2518,14,2553,66453,43896.99286
43235,1038982,2518,2553,15,2553,66453,43896.99286
43236,1038982,2553,2799,8,2553,66453,43896.99286
43237,1038982,2799,2553,12,2553,66453,43896.99286
43238,1038982,2553,2704,6,2553,66453,43896.99286
43239,1038982,2705,2656,15,2553,66453,43896.99286
43240,1038982,2656,2518,15,2553,66453,43896.99286
43241,1038982,2518,2553,16,2553,66453,43896.99286
43242,1038982,2553,2559,12,2553,66453,43896.99286
43243,1038982,2559,2553,12,2553,66453,43896.99286
43244,1038982,2553,2584,10,2553,66453,43896.99286
43245,1038982,2584,2553,10,2553,66453,43896.99286
43246,1042396,2553,2525,18,2553,169718,43896.99286
43247,1042396,2525,2518,21,2553,169718,43896.99286
43248,1042396,2518,2553,21,2553,169718,43896.99286
43249,1042396,2553,2489,9,2553,169718,43896.99286
43250,1042396,2489,2553,9,2553,169718,43896.99286
43251,1045156,2553,2659,13,2553,188525,43896.99286
43252,1045156,2659,2553,16,2553,188525,43896.99286
43253,1049992,2553,2525,17,2553,132329,43896.99286
43254,1049992,2525,2553,17,2553,132329,43896.99286
43255,1057095,2553,2581,9,2553,240693,43896.99286
43256,1057095,2581,2593,16,2553,240693,43896.99286
43257,1057095,2593,2740,16,2553,240693,43896.99286
43258,1057095,2740,2553,16,2553,240693,43896.99286
43259,1059006,2553,2768,9,2553,1815,43896.99286
43260,1059006,2768,2822,12,2553,1815,43896.99286
43261,1059006,2822,2553,12,2553,1815,43896.99286
43262,1059006,2553,2766,17,2553,1815,43896.99286
43263,1059006,2553,2593,7,2553,1815,43896.99286
43264,1059006,2739,2558,19,2553,1815,43896.99286
