,trip_id,person_id,household_id,primary_purpose,trip_num,outbound,trip_count,destination,origin,tour_id,purpose,destination_logsum,depart,trip_mode,mode_choice_logsum,atap,btap,path_set
17300,1788947,5454,2125,atwork,3,True,3,96898,98995,223618,atwork,,10.0,SHARED3FREE,1.5696868700855895,,,
17506,1807269,5509,2146,work,1,False,1,96634,96079,225908,home,,19.0,SHARED3FREE,-0.7465748814220072,,,
17518,1808493,5513,2147,othmaint,1,False,1,96001,98095,226061,home,,16.0,SHARED3FREE,0.8486301316536727,,,
17933,1856381,5659,2214,othmaint,1,False,1,99284,96888,232047,home,,19.0,SHARED3FREE,0.477844471168731,,,
18551,1920773,5856,2292,atwork,1,False,1,94972,177897,240096,work,,13.0,SHARED3FREE,1.0911905479330402,,,
18675,1936061,5902,2312,othdiscr,1,False,1,96895,97566,242007,home,,13.0,SHARED3FREE,0.5232116434309331,,,
18701,1938467,5909,2315,work,3,True,3,97151,98299,242308,work,,8.0,SHARED3FREE,-0.0479553589816458,,,
18743,1941634,5919,2319,othdiscr,2,True,2,96406,97867,242704,othdiscr,,15.0,SHARED3FREE,0.1490721931579426,,,
18789,1947867,5938,2328,othdiscr,3,True,3,96419,96188,243483,othdiscr,,11.0,SHARED3FREE,0.2532897869910707,,,
18851,1953773,5956,2336,othdiscr,1,False,1,94433,95428,244221,home,,20.0,SHARED3FREE,-1.3622750940396446,,,
19032,1971154,6009,2358,othdiscr,2,True,2,97141,95196,246394,othdiscr,,15.0,SHARED3FREE,0.5239527438160119,,,
19069,1973631,6017,2360,eatout,3,False,3,98305,97417,246703,home,,14.0,SHARED3FREE,0.6685174401954255,,,
19122,1980077,6036,2366,shopping,1,False,1,98538,97526,247509,home,,10.0,SHARED3FREE,0.9054075993213824,,,
19259,1995210,6082,2382,work,2,True,2,97574,97138,249401,work,,18.0,SHARED3FREE,1.2820833461468162,,,
19278,1997178,6088,2384,work,2,True,2,95923,99505,249647,work,,7.0,SHARED3FREE,1.1108988922831189,,,
19391,2009253,6125,2400,school,1,False,1,98403,95923,251156,home,,14.0,SHARED3FREE,1.2041027609600232,,,
19452,2016533,6147,2409,work,1,False,1,95450,96155,252066,home,,14.0,SHARED3FREE,1.3430378891115982,,,
19715,2041045,6222,2442,othmaint,1,False,1,94473,96388,255130,home,,20.0,SHARED3FREE,0.6792370594824957,,,
19723,2041941,6225,2444,othmaint,1,False,1,95426,94972,255242,home,,16.0,SHARED3FREE,-0.1376570902693505,,,
