FID,TAZ,SUBRAD,RAD,RADNUM,SUBAREAS,PUMA,Shape_STAr,Shape_STLe
1395,482,153,East Sacramento,14,2,Sac_6,9938614.7666,13176.296241
1396,904,151,Rosemont,15,9,Sac_5,18870505.2754,24913.2118168
1397,497,161,South Sacramento,19,7,Sac_8,17364824.9717,19759.5720652
1398,659,141,Land Park-Pocket-Meadowview,18,2,Sac_7,15200123.4287,15840.7171782
1399,19,970,Gateway,97,0, ,4422979.88281,10179.2534679
1400,795,135,Downtown,1,2,Sac_4,2504563.02441,6638.20905995
1401,483,153,East Sacramento,14,2,Sac_6,7989713.96094,11504.0325132
1402,696,161,South Sacramento,19,7,Sac_8,13992012.1689,17201.777599
1403,810,136,Downtown,1,2,Sac_4,1737617.32422,5846.35536015
1404,1080,523,Davis,52,21,Yolo,15999469.5713,20952.1607229
1405,532,63,Folsom,10,11,Sac_3,35746065.5137,24169.3340604
1406,894,151,East Sacramento,14,2,Sac_6,3030128.03516,7262.54468547
1407,921,144,Land Park-Pocket-Meadowview,18,3,Sac_7,13079792.4404,17508.803096
1408,539,63,Folsom,10,11,Sac_3,111879406.412,68272.465837
1409,109,523,Davis,52,21,Yolo,30256539.2646,24362.9342667
1410,778,137,Downtown,1,2,Sac_4,2390404.08008,6566.41488269
1411,920,143,Land Park-Pocket-Meadowview,18,3,Sac_7,11182106.3066,14517.0985106
1412,485,153,East Sacramento,14,2,Sac_6,10183039.3555,13334.5345372
1413,680,143,Land Park-Pocket-Meadowview,18,3,Sac_7,11525483.7412,14042.6213901
1414,773,135,Downtown,1,2,Sac_4,2570223.82031,6663.52405711
1415,1530,771,Loomis,77,35,Placer_1,55165060.6836,39421.1924033
1416,110,521,Davis,52,21,Yolo,2508548.44336,7241.0643391
1417,474,151,East Sacramento,14,2,Sac_6,5579901.4873,9718.03862653
1418,1179,152,East Sacramento,14,2,Sac_6,3347664.04492,7883.21594738
1419,469,151,East Sacramento,14,2,Sac_6,3958668.66602,8513.01410481
1420,558,171,Vineyard,20,8,Sac_9,20649875.0645,21465.1013052
1421,204,771,Loomis,77,35,Placer_1,23587311.0752,24442.2262803
1422,1212,121,Rosemont,15,8,Sac_9,4391917.15723,8769.83716669
1423,811,135,Downtown,1,2,Sac_4,1377405.92285,4932.74684061
1424,683,143,Land Park-Pocket-Meadowview,18,3,Sac_7,7823212.52441,11121.8433342
1425,1120,127,Rancho Cordova East,17,8,Sac_3,25969486.3457,22079.6016086
1426,796,135,Downtown,1,2,Sac_4,3394515.38867,7449.24756874
1427,82,524,Davis,52,20,Yolo,104286332.158,47433.2253665
1428,220,901,Placerville,90,40,El Dorado,96215225.0732,68032.8542337
1429,85,524,Davis,52,20,Yolo,2575076.07227,6822.3710573
1430,675,142,Land Park-Pocket-Meadowview,18,3,Sac_7,6691206.02441,11559.7260766
1431,789,137,Downtown,1,2,Sac_4,2657661.36426,6715.97151401
1432,1215,171,Vineyard,20,8,Sac_9,20142217.7266,20647.5412975
1433,788,137,Downtown,1,2,Sac_4,4184502.80957,9302.01697687
1434,1153,561,Dunnigan - Knight's Landing,56,17,Yolo,161111935.914,54341.9603744
1435,81,524,Davis,52,20,Yolo,31955679.2344,29543.9752802
1436,498,161,South Sacramento,19,7,Sac_8,8723894.79004,12785.6672116
1437,102,522,Davis,52,21,Yolo,3696682.24707,11676.5528088
1438,471,151,East Sacramento,14,2,Sac_6,8252418.00488,13098.3190105
1439,170,703,Roseville East,71,38,Placer_2,10955082.0869,17226.6099845
1440,897,162,South Sacramento,19,7,Sac_8,11916146.6865,15861.8751016
1441,905,121,Rosemont,15,8,Sac_5,3145383.80566,7362.81962057
1442,1165,504,West Sacramento,50,23,Yolo,17797276.7051,18308.5671494
1443,222,912,Placerville,90,40,El Dorado,28890004.4893,27947.7174778
1444,923,161,South Sacramento,19,7,Sac_8,7302713.45117,11693.5927603
1445,484,153,East Sacramento,14,2,Sac_6,6769267.31738,11257.7039709
1446,514,151,East Sacramento,14,2,Sac_6,7734997.85156,11133.1348184
1447,524,152,East Sacramento,14,2,Sac_6,9673980.23047,12819.3288436
1448,293,21,Rio Linda - Elverta,5,13,Sac_1,47751819.6641,28308.7724711
1449,555,223,Cosumnes,25,8,Sac_9,209418239.418,75280.7085726
1450,862,521,Davis,52,21,Yolo,11548344.6543,14682.8509541
1451,1213,125,Rosemont,15,8,Sac_9,17802899.6377,17561.0763987
1452,949,703,Roseville East,71,38,Placer_2,15436026.3438,17478.1992698
1453,1162,151,East Sacramento,14,2,Sac_6,7205136.58887,10860.7470702
1454,499,161,South Sacramento,19,7,Sac_8,5240560.69043,9535.4796862
1455,987,521,Davis,52,21,Yolo,2522818.93262,7225.49389477
1456,697,161,South Sacramento,19,3,Sac_8,8114877.34082,11669.4168084
1457,776,135,Downtown,1,2,Sac_4,2047221.00781,5752.85718357
1458,1156,124,Rancho Cordova East,17,8,Sac_3,14969272.1992,15846.5557177
1459,548,240,Rancho Murieta,24,10,Sac_9,350438985.466,76666.6670036
1460,340,94,Arden Arcade,11,9,Sac_5,4029163.37109,10648.9819231
1461,657,141,Land Park-Pocket-Meadowview,18,2,Sac_7,9996091.57129,12407.49199
1462,661,141,Land Park-Pocket-Meadowview,18,2,Sac_7,2652477.50488,6939.91439213
1463,501,162,South Sacramento,19,7,Sac_8,3323286.99414,7694.06875267
1464,566,125,Rancho Cordova West,16,8,Sac_9,133665161.477,54615.6000748
1465,1182,152,East Sacramento,14,2,Sac_6,8245097.60645,11748.5858048
1466,1522,124,Rancho Cordova East,17,8,Sac_3,12322930.0254,14413.4404642
1467,517,152,East Sacramento,14,2,Sac_6,11499193.5947,14280.5167347
1468,1220,127,Rancho Cordova East,17,8,Sac_3,18231269.9707,18639.9247824
1469,554,223,Cosumnes,25,10,Sac_9,1116011235.56,159335.467264
1470,792,135,Downtown,1,2,Sac_4,2072733.76758,5782.78270529
1471,1069,131,Downtown,1,2,Sac_4,16372462.3086,20759.1485275
1472,790,137,Downtown,1,2,Sac_4,3728445.92969,8168.94789403
1473,674,142,Land Park-Pocket-Meadowview,18,3,Sac_7,5172975.96094,10418.5601077
1474,677,141,Land Park-Pocket-Meadowview,18,3,Sac_7,6772929.90527,10899.1954932
1475,594,121,Rosemont,15,8,Sac_9,10777651.8115,13758.2483813
1476,492,153,East Sacramento,14,3,Sac_6,15379337.2148,17105.3701031
1477,1527,131,Downtown,1,2,Sac_4,1357265.24902,4583.22187475
1478,685,144,Land Park-Pocket-Meadowview,18,3,Sac_7,20156357.3301,25485.0352999
1479,670,141,Land Park-Pocket-Meadowview,18,3,Sac_7,13654776.0732,16321.83675
